HTSUS,Articles of Civil Aircraft only,Description,Descrição
8415.81.01,*,"Air conditioning machines incorporating a refrigerating unit and valve for reversal of cooling/heat cycle, nesoi","Máquinas de ar condicionado que incorporam uma unidade de refrigeração e válvula para reversão do ciclo de resfriamento/calor, nesoi"
8415.82.01,*,"Air conditioning machines incorporating a refrigerating unit, nesoi","Máquinas de ar condicionado incorporando uma unidade de refrigeração, NESOI"
8415.83.00,*,Air conditioning machines not incorporating a refrigerating unit,Máquinas de ar condicionado não incorporando uma unidade de refrigeração
8415.90.40,*,"Chassis, chassis bases and outer cabinets for air conditioning machines","Chassi, bases de chassi e armários externos para máquinas de ar condicionado"
8415.90.80,*,"Parts for air conditioning machines, nesoi","Peças para máquinas de ar condicionado, nesoi"
8418.10.00,*,"Combined refrigerator-freezers, fitted with separate external doors or drawers, electric or other","Freezers de geladeira combinados, equipados com portas ou gavetas externas separadas, elétricas ou outras"
8418.30.00,*,"Freezers of the chest type, not exceeding 800 liters capacity, electric or other","Freezers do tipo de tórax, não excedendo 800 litros de capacidade, elétricos ou outros"
8418.40.00,*,"Freezers of the upright type, not exceeding 900 liters capacity, electric or other","Freezers do tipo vertical, não excedendo 900 litros de capacidade, elétrico ou outro"
8418.61.01,*,Heat pumps other than the air conditioning machines of heading 8415,Bombas de calor que não sejam as máquinas de ar condicionado da cabeça 8415
8418.69.01,*,"Refrigerating or freezing equipment, nesoi","Equipamento de refrigeração ou congelamento, NESOI"
8419.50.10,*,Brazed aluminum plate-fin heat exchangers,Trocadores de calor de alumínio de alumínio bronzeado
8419.50.50,*,"Heat exchange units, nesoi","Unidades de troca de calor, nesoi"
8419.81.50,*,"Cooking stoves, ranges and ovens, other than microwaves, for making hot drinks or for cooking or heating food, not used for domestic purposes","Fogões de cozinha, faixas e fornos, exceto microondas, para fazer bebidas quentes ou para cozinhar ou aquecer alimentos, não usados para fins domésticos"
8419.81.90,*,"Machinery and equipment nesoi, for making hot drinks or for cooking or heating food, not used for domestic purposes","Máquinas e equipamentos NESOI, para fazer bebidas quentes ou para cozinhar ou aquecer alimentos, não usados para fins domésticos"
8419.90.10,*,Parts of instantaneous or storage water heaters,Partes de aquecedores de água instantâneos ou de armazenamento
8419.90.20,*,"Parts of machinery and plant, for making paper pulp, paper or paperboard","Partes de máquinas e plantas, para fazer polpa, papel ou papelão"
8419.90.30,*,Parts of heat exchange units,Partes de unidades de troca de calor
8419.90.50,*,"Parts of molten-salt-cooled acrylic acid reactors, nesoi; parts of medical, surgical or laboratory sterilizers, nesoi","Partes de reatores de ácido acrílico resfriado por sal fundido, NESOI; Partes de esterilizantes médicos, cirúrgicos ou laboratoriais, nesoi"
8419.90.85,*,"Parts of electromechanical tools for working in the hand, with self-contained electric motor","Partes de ferramentas eletromecânicas para trabalhar na mão, com motor elétrico independente"
8421.19.00,*,"Centrifuges, other than cream separators or clothes dryers","Centrífugas, além de separadores de creme ou secadores de roupas"
8421.21.00,*,Machinery and apparatus for filtering or purifying water,Máquinas e aparelhos para filtrar ou purificar água
8421.23.00,*,Oil or fuel filters for internal combustion engines,Filtros de petróleo ou combustível para motores de combustão interna
8421.29.00,*,"Filtering or purifying machinery and apparatus for liquids, nesoi","Máquinas e aparelhos de filtragem ou purificação para líquidos, nesoi"
8421.31.00,*,Intake air filters for internal combustion engines,Filtros de ar de entrada para motores de combustão interna
8421.32.00,*,"Catalytic converters or particulate filters, whether or not combined, for purifying or filtering exhaust gases from internal combustion engines","Conversores catalíticos ou filtros de partículas, combinados ou não, para purificar ou filtrar gases de escape de motores de combustão interna"
8421.39.01,*,"Filtering or purifying machinery and apparatus for exhaust gases, other than intake air filters or catalytic converters, for internal combustion engines","Máquinas e aparelhos de filtragem ou purificação para gases de escape, exceto filtros de ar de admissão ou conversores catalíticos, para motores de combustão interna"
8424.10.00,*,"Fire extinguishers, whether or not charged","Extintores de incêndio, cobrados ou não"
8425.11.00,*,"Pulley tackle and hoists other than skip hoists or hoists used for raising vehicles, powered by electric motor","Tackle de polia e guinchos além de guincho ou guinchas usadas para criar veículos, alimentados por motor elétrico"
8425.19.00,*,"Pulley tackle and hoists other than skip hoists or hoists used for raising vehicles, not powered by electric motor","Tackle de polia e guinchos além de guardas ou guinchas usadas para criar veículos, não alimentados pelo motor elétrico"
8425.31.01,*,"Winches and capstans, powered by electric motor","Guinchos e capstans, alimentados por motor elétrico"
8425.39.01,*,"Winches and capstans, not powered by electric motor","Guincho e capstans, não alimentados por motor elétrico"
8425.42.00,*,"Hydraulic jacks and hoists, nesoi","Macacos e guinchos hidráulicos, nesoi"
8425.49.00,*,"Jacks and hoists of a kind used for raising vehicles, other than hydraulic, nesoi","Macacos e guincho de um tipo usado para criar veículos, exceto hidráulico, nesoi"
8426.99.00,*,"Ships’ derricks, cranes and other lifting machinery, nesoi","Derricks, guindastes e outras máquinas de levantamento de navios, nesoi"
8428.10.00,*,Passenger or freight elevators other than continuous action; skip hoists,Elevadores de passageiros ou de carga que não sejam ações contínuas; pular os guinchos
8428.20.00,*,Pneumatic elevators and conveyors,Elevadores e transportadores pneumáticos
8428.33.00,*,"Belt type continuous-action elevators and conveyors, for goods or materials","Tipo de correia Elevadores e transportadores de ação contínua, para bens ou materiais"
8428.39.00,*,"Continuous-action elevators and conveyors, for goods or materials, nesoi","Elevadores e transportadores de ação contínua, para bens ou materiais, nesoi"
8428.90.03,*,"Machinery for lifting, handling, loading or unloading, nesoi","Máquinas para levantar, manusear, carregar ou descarregar, nesoi"
8443.31.00,*,"Multifunction units (machines which perform two or more of the functions of printing, copying or facsimile transmission, capable of connecting to an automatic data processing machine or to a network)","Unidades multifuncionais (máquinas que executam duas ou mais das funções de impressão, cópia ou transmissão de fac -símile, capazes de se conectar a uma máquina automática de processamento de dados ou a uma rede)"
8443.32.10,*,"Printer units, capable of connecting to an automatic data processing machine or to a network","Unidades de impressora, capazes de se conectar a uma máquina automática de processamento de dados ou a uma rede"
8443.32.50,*,"Single function units other than printer units (machines which perform only one of the functions of printing, copying or facsimile transmission)","Unidades de função única que não sejam unidades de impressora (máquinas que executam apenas uma das funções de impressão, cópia ou transmissão de fac -símile)"
8471.41.01,*,"Automatic data processing machines, nonportable or over 10 kg, comprising in the same housing at least a central processing unit and an input and output unit, whether or not combined","Máquinas automáticas de processamento de dados, não portáveis ou mais de 10 kg, compreendendo na mesma moradia pelo menos uma unidade de processamento central e uma unidade de entrada e saída, seja ou não combinada ou não"
8471.49.00,*,"Automatic data processing machines, nesoi, entered in the form of systems (consisting of at least a central processing unit, and an input and output unit)","Máquinas automáticas de processamento de dados, NESOI, inseridas na forma de sistemas (consistindo em pelo menos uma unidade central de processamento e uma unidade de entrada e saída)"
8471.50.01,*,"Processing units other than those of subheading 8471.41 and 8471.49, nesoi","Unidades de processamento que não sejam as de Subtenção 8471.41 e 8471.49, NESOI"
8471.60.10,*,Combined input/output units for automatic data processing machines not entered with the rest of a system,Unidades combinadas de entrada/saída para máquinas de processamento de dados automáticas não inseridas com o restante de um sistema
8471.60.20,*,Keyboards for automatic data processing machines not entered with the rest of a system,Teclados para máquinas de processamento de dados automáticas não inseridas com o restante de um sistema
8471.60.70,*,"Input or output units suitable for physical incorporation into an automatic data processing machine or unit thereof, nesoi, not entered with the rest of a system","Unidades de entrada ou saída adequadas para incorporação física em uma máquina automática de processamento de dados ou unidade da mesma, nesoi, não inserida com o restante de um sistema"
8471.60.80,*,Optical scanners and magnetic ink recognition devices not entered with the rest of an automatic data processing system,Scanners ópticos e dispositivos de reconhecimento de tinta magnética não inseridos com o restante de um sistema automático de processamento de dados
8471.60.90,*,"Other input or output units of digital automatic data processing machines, nesoi, not entered with the rest of a system","Outras unidades de entrada ou saída de máquinas de processamento de dados automáticas digitais, NESOI, não inseridas com o restante de um sistema"
8471.70.10,*,"Automatic data processing magnetic disk drive storage units, disk diameter exceeding 21 cm, without read-write unit assembled therein; read-write units; all not entered with the rest of a system","Processamento automático de dados unidades de armazenamento de unidade de disco magnético, diâmetro do disco superior a 21 cm, sem a unidade de leitura e gravação montada nela; unidades de leitura-gravação; tudo não entrou com o resto de um sistema"
8471.70.20,*,"Automatic data processing magnetic disk drive storage units, disk diameter exceeding 21 cm, for incorporation into automatic data processing machines or units, not entered with the rest of a system","Processamento automático de dados unidades de armazenamento de unidade de disco magnético, diâmetro do disco superior a 21 cm, para incorporação em máquinas ou unidades automáticas de processamento de dados, não inseridas com o restante de um sistema"
8471.70.30,*,"Automatic data processing magnetic disk drive storage units, disk diameter exceeding 21 cm, nesoi, not entered with the rest of a system","Unidades automáticas de armazenamento de unidade de disco magnético, diâmetro do disco superior a 21 cm, nesoi, não inserido com o restante de um sistema"
8471.70.40,*,"Automatic data processing magnetic disk drive storage units, disk diameter not exceeding 21 cm, not assembled in cabinets, without attached external power supply, not entered with the rest of a system","Unidades automáticas de armazenamento de unidade de disco magnético, diâmetro do disco não superior a 21 cm, não montado em armários, sem fonte de alimentação externa anexada, não inserida com o restante de um sistema"
8471.70.50,*,"Automatic data processing magnetic disk drive storage units, disk diameter not exceeding 21 cm, nesoi, not entered with the rest of a system","Unidades automáticas de armazenamento de unidade de disco magnético, diâmetro de disco que não excede 21 cm, nesoi, não inserido com o restante de um sistema"
8471.70.60,*,"Automatic data processing storage units other than magnetic disk, not assembled in cabinets for placing on a table etc., not entered with the rest of a system","Unidades automáticas de armazenamento de processamento de dados que não o disco magnético, não montadas em armários para colocar em uma mesa etc., não inseridos com o restante de um sistema"
8471.70.90,*,"Automatic data processing storage units other than magnetic disk drive units, nesoi, not entered with the rest of a system","Unidades automáticas de armazenamento de processamento de dados que não sejam unidades de unidade de disco magnético, nesoi, não inseridas com o restante de um sistema"
8479.89.10,*,"Air humidifiers or dehumidifiers with self-contained electric motor, other than for domestic purposes","Umidificadores de ar ou desumidificadores com motor elétrico independente, exceto para fins domésticos"
8479.89.20,*,"Floor polishers with self-contained electric motor, other than for domestic purposes","Polidores de piso com motor elétrico independente, exceto para fins domésticos"
8479.89.65,*,"Electromechanical appliances with self-contained electric motor, nesoi","Aparelhos eletromecânicos com motor elétrico independente, nesoi"
8479.89.70,*,"Carpet sweepers, not electromechanical appliances with self-contained electric motor","Varredores de carpete, não aparelhos eletromecânicos com motor elétrico independente"
8479.89.95,*,"Other machines and mechanical appliances having individual functions, not specified or included elsewhere in chapter 84, nesoi","Outras máquinas e aparelhos mecânicos com funções individuais, não especificadas ou incluídas em outros lugares no capítulo 84, nesoi"
8479.90.41,*,Parts of air humidifiers or dehumidifiers of subheading 8479.89.10; parts of carpet sweepers of subheading 8479.89.70,Partes de umidificadores de ar ou desumidificadores da subposição 8479.89.10; partes de varredores de carpetes de subposição 8479.89.70
8479.90.45,*,"Parts of trash compactors, frame assemblies","Partes de compactores de lixo, conjuntos de quadros"
8479.90.55,*,"Parts of trash compactors, ram assemblies","Partes de compactadores de lixo, assemblies de RAM"
8479.90.65,*,"Parts of trash compactors, container assemblies","Partes de compactadores de lixo, conjuntos de contêineres"
8479.90.75,*,"Parts of trash compactors, cabinets or cases","Partes de compactores, armários ou casos de lixo"
8479.90.85,*,"Parts of trash compactors, nesoi","Partes de compactores de lixo, nesoi"
8479.90.95,*,"Parts of machines and mechanical appliances having individual functions, not specified or included elsewhere in chapter 84, nesoi","Partes de máquinas e aparelhos mecânicos com funções individuais, não especificadas ou incluídas em outros lugares no Capítulo 84, NESOI"
8483.10.10,*,Camshafts and crankshafts for use solely or principally with spark-ignition internal combustion piston or rotary engines,Eixo de cames e eixos de manivela para uso exclusivamente ou principalmente com pistão de combustão interna de ignição por faísca ou motores rotativos
8483.10.30,*,"Camshafts and crankshafts, nesoi","Eixas de cames e eixos de manivela, nesoi"
8483.10.50,*,Transmission shafts and cranks other than camshafts and crankshafts,Eixos de transmissão e manivelas além de árvores de cames e eixos de manivela
8483.30.40,*,"Bearing housings of the flange, take-up, cartridge and hanger unit type","Caixas de rolamento do tipo de flange, aceitação, cartucho e cabide"
8483.30.80,*,Bearing housings nesoi; plain shaft bearings,Rolando de alojamento nesoi; Rolamentos de eixo simples
8483.40.10,*,Torque converters,Conversores de torque
8483.40.30,*,"Fixed, multiple and variable ratio speed changers, imported for use with machines for making cellulosic pulp, paper or paperboard","Trocadores de velocidade de razão fixa, múltipla e variável, importados para uso com máquinas para fabricar polpa, papel ou papel de papel celular"
8483.40.50,*,"Fixed, multiple and variable ratio speed changers, not imported for use with machines for making cellulosic pulp, paper or paperboard","Trocadores de velocidade fixa, múltipla e variável, não importados para uso com máquinas para fabricar polpa, papel ou papel celular"
8483.40.70,*,"Speed changers other than fixed, multiple and variable ratio speed changers","Trocadores de velocidade que não sejam os trocadores de velocidade fixa, múltipla e variável"
8483.40.80,*,Ball or roller screws,Parafusos de bola ou rolo
8483.40.90,*,"Gears and gearing, other than toothed wheels, chain sprockets and other transmission elements entered separately","Engrenagens e engrenagens, exceto rodas dentadas, rodas dentadas de corrente e outros elementos de transmissão inseridos separadamente"
8483.50.40,*,"Gray-iron awning or tackle pulleys, not over 6.4 cm in wheel diameter","Toldo de ferro cinza ou polias, não mais de 6,4 cm em diâmetro da roda"
8483.50.60,*,Flywheels,Volantes
8483.50.90,*,"Pulleys, including pulley blocks, nesoi","Polias, incluindo blocos de polia, nesoi"
8483.60.40,*,Clutches and universal joints,Embreagens e juntas universais
8483.60.80,*,Shaft couplings (other than universal joints),Acoplamentos do eixo (exceto as juntas universais)
8483.90.10,*,Chain sprockets and parts thereof,Rodas dentadas e peças
8483.90.20,*,"Parts of flange, take-up, cartridge and hanger units","Partes de unidades de flange, aceitação, cartucho e cabide"
8483.90.30,*,"Parts of bearing housings and plain shaft bearings, nesoi","Partes de caixas de rolamento e rolamentos de eixo simples, nesoi"
8483.90.50,*,"Parts of gearing, gear boxes and other speed changers","Partes de engrenagem, caixas de engrenagem e outros trocadores de velocidade"
8483.90.80,*,"Parts of transmission equipment, nesoi","Partes do equipamento de transmissão, nesoi"
8484.10.00,*,Gaskets and similar joints of metal sheeting combined with other material or of two or more layers of metal,Juntas e juntas semelhantes de folhas de metal combinadas com outros materiais ou de duas ou mais camadas de metal
8484.90.00,*,"Sets or assortments of gaskets and similar joints dissimilar in composition, put up in pouches, envelopes or similar packings","Conjuntos ou sortimentos de juntas e juntas semelhantes diferentes em composição, colocadas em bolsas, envelopes ou embalagens semelhantes"
8501.20.50,*,Universal AC/DC motors of an output exceeding 735 W but under 746 W,"Motores AC/CC universais de uma saída superior a 735 W, mas abaixo de 746 W"
8501.20.60,*,Universal AC/DC motors of an output of 746 W or more,Motores AC/CC universais de uma produção de 746 W ou mais
8501.31.50,*,"DC motors, nesoi, of an output exceeding 735 W but under 746 W","DC Motors, nesoi, de uma saída superior a 735 W, mas abaixo de 746 W"
8501.31.60,*,"DC motors nesoi, of an output of 746 W or more but not exceeding 750 W","DC Motors nesoi, de uma produção de 746 W ou mais, mas não excedendo 750 W"
8501.31.81,*,"DC generators, other than photovoltaic generators, of an output not exceeding 750 W","Geradores de DC, além de geradores fotovoltaicos, de uma saída que não excede 750 W"
8501.32.20,*,"DC motors nesoi, of an output exceeding 750 W but not exceeding 14.92 kW","DC Motors nesoi, de uma saída superior a 750 W, mas não superior a 14,92 kW"
8501.32.55,*,"DC motors nesoi, of an output exceeding 14.92 kW but not exceeding 75 kW","DC Motors nesoi, de uma saída superior a 14,92 kW, mas não superior a 75 kW"
8501.32.61,*,"DC generators, other than photovoltaic generators, of an output exceeding 750 W but not exceeding 75 kW","Geradores de DC, além de geradores fotovoltaicos, de uma saída superior a 750 W, mas não excedendo 75 kW"
8501.33.20,*,"DC motors nesoi, of an output exceeding 75 kW but under 149.2 kW","DC Motors nesoi, de uma saída superior a 75 kW, mas abaixo de 149,2 kW"
8501.33.30,*,"DC motors nesoi, of an output of 149.2 kW or more but not exceeding 150 kW","DC Motors nesoi, de uma produção de 149,2 kW ou mais, mas não excedendo 150 kW"
8501.33.61,*,"DC generators, other than photovoltaic generators, of an output exceeding 75 kW but not exceeding 375 kW","Geradores de DC, além de geradores fotovoltaicos, de uma saída superior a 75 kW, mas não excedendo 375 kW"
8501.34.61,*,"DC generators, other than photovoltaic generators, of an output exceeding 375 kW","Geradores de DC, além de geradores fotovoltaicos, de uma saída superior a 375 kW"
8501.40.50,*,"AC motors nesoi, single-phase, of an output exceeding 735 W but under 746 W","Motores AC nesoi, monofásicos, de uma saída superior a 735 W, mas abaixo de 746 W"
8501.40.60,*,"AC motors nesoi, single-phase, of an output of 746 W or more","Motores AC nesoi, monofásicos, de uma saída de 746 W ou mais"
8501.51.50,*,"AC motors nesoi, multi-phase, of an output exceeding 735 W but under 746 W","Motores AC nesoi, multifásicos, de uma saída superior a 735 W, mas abaixo de 746 W"
8501.51.60,*,"AC motors nesoi, multi-phase, of an output of 746 W or more but not exceeding 750 W","Motores AC nesoi, multifásicos, de uma saída de 746 W ou mais, mas não excedendo 750 W"
8501.52.40,*,"AC motors nesoi, multi-phase, of an output exceeding 750 W but not exceeding 14.92 kW","Motores AC nesoi, multifásicos, de uma saída superior a 750 W, mas não excedendo 14,92 kW"
8501.52.80,*,"AC motors nesoi, multi-phase, of an output exceeding 14.92 kW but not exceeding 75 kW","Motores AC nesoi, multifásicos, de uma saída superior a 14,92 kW, mas não excedendo 75 kW"
8501.53.40,*,"AC motors nesoi, multi-phase, of an output exceeding 75 kW but under 149.2 kW","Motores AC nesoi, multifásicos, de uma saída superior a 75 kW, mas abaixo de 149,2 kW"
8501.53.60,*,"AC motors nesoi, multi-phase, of an output of 149.2 kW or more but not exceeding 150 kW","Motores AC nesoi, multifásicos, de uma saída de 149,2 kW ou mais, mas não excedendo 150 kW"
8501.61.01,*,"AC generators (alternators), other than photovoltaic generators, of an output not exceeding 75 kVA","Geradores CA (alternadores), exceto geradores fotovoltaicos, de uma saída que não excede 75 kVA"
8501.62.01,*,"AC generators (alternators), other than photovoltaic generators, of an output exceeding 75 kVA but not exceeding 375 kVA","Geradores CA (alternadores), além de geradores fotovoltaicos, de uma saída superior a 75 kVa, mas não excedendo 375 kVa"
8501.63.01,*,"AC generators (alternators), other than photovoltaic generators, of an output exceeding 375 kVA but not exceeding 750 kVA","Geradores CA (alternadores), além de geradores fotovoltaicos, de uma saída superior a 375 kVa, mas não excedendo 750 KVA"
8501.71.00,*,"Photovoltaic DC generators, of an output not exceeding 50 W","Geradores de DC fotovoltaicos, de uma saída que não excede 50 W"
8501.72.10,*,"Photovoltaic DC generators, of an output exceeding 50 W but not exceeding 750 W","Geradores de DC fotovoltaicos, de uma saída superior a 50 W, mas não excedendo 750 W"
8501.72.20,*,"Photovoltaic DC generators, of an output exceeding 750 W but not exceeding 75 kW","Geradores de DC fotovoltaicos, de uma saída superior a 750 W, mas não excedendo 75 kW"
8501.72.30,*,"Photovoltaic DC generators, of an output exceeding 75 kW but not exceeding 375 kW","Geradores de DC fotovoltaicos, de uma saída superior a 75 kW, mas não excedendo 375 kW"
8501.72.90,*,"Photovoltaic DC generators, of an output exceeding 375 kW","Geradores de DC fotovoltaicos, de uma saída superior a 375 kW"
8501.80.10,*,"Photovoltaic AC generators, of an output not exceeding 75 kVA","Geradores CA fotovoltaicos, de uma saída não superior a 75 kVa"
8501.80.20,*,"Photovoltaic AC generators, of an output exceeding 75 kVA but not exceeding 375 kVA","Geradores CA fotovoltaicos, de uma saída superior a 75 kVa, mas não excedendo 375 kVa"
8501.80.30,*,"Photovoltaic AC generators, of an output exceeding 375 kVA but not exceeding 750 kVA","Geradores CA fotovoltaicos, de uma saída superior a 375 kVa, mas não excedendo 750 kVa"
8502.11.00,*,"Electric generating sets with compression-ignition internal combustion piston engines, of an output not exceeding 75 kVA","Conjuntos de geração elétrica com motores de pistão de combustão interna de compressão de compressão, de uma saída não superior a 75 kVa"
8502.12.00,*,"Electric generating sets with compression-ignition internal combustion piston engines, of an output exceeding 75 kVA but not exceeding 375 kVA","Conjuntos de geração elétrica com motores de pistão de combustão interna de compressão, de uma saída superior a 75 kVa, mas não excedendo 375 kVa"
8502.13.00,*,"Electric generating sets with compression-ignition internal combustion piston engines, of an output exceeding 375 kVA","Conjuntos de geração elétrica com motores de pistão de combustão interna de compressão, de uma saída superior a 375 KVA"
8502.20.00,*,Electric generating sets with spark-ignition internal combustion piston engines,Conjuntos de geração elétrica com motores de pistão de combustão interna de ignição por faísca
8502.31.00,*,Wind-powered electric generating sets,Conjuntos de geração elétricos movidos pelo vento
8502.39.00,*,"Electric generating sets, nesoi","Conjuntos de geração elétrica, nesoi"
8502.40.00,*,Electric rotary converters,Conversores rotativos elétricos
8504.10.00,*,Ballasts for discharge lamps or tubes,Reator para lâmpadas ou tubos de descarga
8504.31.20,*,"Unrated electrical transformers other than liquid dielectric, having a power handling capacity not exceeding 1 kVA","Transformadores elétricos não classificados que não sejam dielétricos líquidos, tendo uma capacidade de manuseio de energia não superior a 1 kVa"
8504.31.40,*,"Electrical transformers other than liquid dielectric, having a power handling capacity less than 1 kVA, other than unrated","Transformadores elétricos que não sejam dielétricos líquidos, tendo uma capacidade de manuseio de energia menor que 1 kVa, exceto sem classificação"
8504.31.60,*,"Electrical transformers other than liquid dielectric, having a power handling capacity of l kVA, other than unrated","Transformadores elétricos que não sejam dielétricos líquidos, tendo uma capacidade de manuseio de energia de l kva, exceto sem classificação"
8504.32.00,*,"Electrical transformers other than liquid dielectric, having a power handling capacity exceeding 1 kVA but not exceeding 16 kVA","Transformadores elétricos que não sejam dielétricos líquidos, tendo uma capacidade de manuseio de energia superior a 1 kVa, mas não superior a 16 kVa"
8504.33.00,*,"Electrical transformers other than liquid dielectric, having a power handling capacity exceeding 16 kVA but not exceeding 500 kVA","Transformadores elétricos que não sejam dielétricos líquidos, tendo uma capacidade de manuseio de energia superior a 16 kVa, mas não superior a 500 kVa"
8504.40.40,*,Electrical speed drive controllers for electric motors (static converters),Controladores de acionamento elétrico de velocidade para motores elétricos (conversores estáticos)
8504.40.60,*,Power supplies suitable for physical incorporation into automatic data processing machines or units thereof of heading 8471,Fontes de alimentação adequadas para incorporação física em máquinas de processamento de dados automáticas ou unidades de sua posição 8471
8504.40.70,*,"Power supplies for automatic data processing machines or units thereof of heading 8471, nesoi","Fontes de alimentação para máquinas de processamento de dados automáticas ou unidades de título 8471, nesoi"
8504.40.85,*,"Static converters (for example, rectifiers) for telecommunication apparatus","Conversores estáticos (por exemplo, retificadores) para aparelhos de telecomunicações"
8504.40.95,*,"Static converters (for example, rectifiers), nesoi","Conversores estáticos (por exemplo, retificadores), nesoi"
8504.50.40,*,Other inductors for power supplies for automatic data processing machines or units of heading 8471 or for telecommunication apparatus,Outros indutores para fontes de alimentação para máquinas de processamento de dados automáticas ou unidades de título 8471 ou para aparelhos de telecomunicações
8504.50.80,*,"Other inductors, nesoi","Outros indutores, Nesoi"
8507.10.00,*,"Lead-acid storage batteries, of a kind used for starting piston engines","Baterias de armazenamento de chumbo-ácido, do tipo usado para iniciar os motores do pistão"
8507.20.80,*,"Lead-acid storage batteries, other than of a kind used for starting piston engines or as the primary source of power for electric vehicles","Baterias de armazenamento de chumbo-ácido, exceto um tipo usado para iniciar os motores do pistão ou como a principal fonte de energia para veículos elétricos"
8507.30.80,*,"Nickel-cadmium storage batteries, other than of a kind used as the primary source of power for electric vehicles","Baterias de armazenamento de níquel-cádmio, exceto um tipo usado como a principal fonte de energia para veículos elétricos"
8507.50.00,*,Nickel-metal hydride batteries,Baterias de hidreto de níquel-metal
8507.60.00,*,Lithium-ion batteries,Baterias de íon de lítio
8507.80.82,*,"Other storage batteries nesoi, other than of a kind used as the primary source of power for electric vehicles","Outras baterias de armazenamento nesoi, exceto um tipo usado como a principal fonte de energia para veículos elétricos"
8507.90.40,*,"Parts of lead-acid storage batteries, including separators therefor","Partes de baterias de armazenamento de chumbo-ácido, incluindo separadores"
8507.90.80,*,"Parts of storage batteries, including separators therefor, other than parts of lead-acid storage batteries","Partes de baterias de armazenamento, incluindo separadores, exceto partes de baterias de armazenamento de chumbo-ácido"
8511.10.00,*,Spark plugs,Plugues de ignição
8511.20.00,*,"Ignition magnetos, magneto-dynamos and magnetic flywheels","Ignition Magnetos, Magneto-Dynamos e Flameels magnéticos"
8511.30.00,*,Distributors and ignition coils,Distribuidores e bobinas de ignição
8511.40.00,*,Starter motors and dual purpose starter-generators,Motores iniciantes e generadores iniciantes de dupla finalidade
8511.50.00,*,"Generators nesoi, of a kind used in conjunction with spark-ignition or compression-ignition internal combustion engines","Geradores nesoi, do tipo usado em conjunto com motores de combustão interna de ignição por faísca ou compressão"
8511.80.20,*,"Voltage and voltage-current regulators with cut-out relays designed for use on 6, 12 or 24 V systems","Reguladores de tensão e corrente de tensão com relés recortados projetados para uso em sistemas 6, 12 ou 24 V"
8511.80.40,*,"Voltage and voltage-current regulators with cut-out relays other than those designed for use on 6, 12 or 24 V systems","Reguladores de tensão e corrente de tensão com relés recortados que não os projetados para uso em sistemas 6, 12 ou 24 V"
8511.80.60,*,"Electrical ignition or starting equipment of a kind used for spark-ignition internal combustion or compression-ignition engines, nesoi","Ignição elétrica ou equipamento de partida do tipo usado para combustão interna de ignição por faísca ou motores de compressão de compressão, nesoi"
8514.20.40,*,Industrial or laboratory microwave ovens for making hot drinks or for cooking or heating food,Fornos de microondas industriais ou laboratoriais para fazer bebidas quentes ou para cozinhar ou aquecer alimentos
8516.80.40,*,"Electric heating resistors assembled only with simple insulated former and electrical connections, used for anti-icing or de-icing","Resistores de aquecimento elétrico montados apenas com conexões simples e elétricas isoladas, usadas para anti-gigantes ou degelo"
8516.80.80,*,"Electric heating resistors, nesoi","Resistores de aquecimento elétrico, nesoi"
8517.13.00,*,Smartphones for cellular networks or for other wireless networks,Smartphones para redes celulares ou para outras redes sem fio
8517.14.00,*,"Other telephones for cellular networks or for other wireless networks, other than smartphones","Outros telefones para redes celulares ou para outras redes sem fio, além de smartphones"
8517.61.00,*,Base stations,Estações base
8517.62.00,*,"Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","Máquinas para a recepção, conversão e transmissão ou regeneração de voz, imagens ou outros dados, incluindo aparelhos de comutação e roteamento"
8517.69.00,*,"Other apparatus for transmission or reception of voice, images or other data, nesoi, but not apparatus of headings 8443, 8525, 8527 or 8528","Outros aparelhos para transmissão ou recepção de voz, imagens ou outros dados, NESOI, mas não aparatos de títulos 8443, 8525, 8527 ou 8528"
8517.71.00,*,Aerials and aerial reflectors of all kinds; parts suitable for use therewith,Aérego e refletores aéreos de todos os tipos; peças adequadas para uso
8518.10.40,*,"Microphones having a frequency range of 300Hz to 3.4kHz with a diameter not over 10 mm and a height not over 3 mm, for telecommunication","Microfones com uma faixa de frequência de 300Hz a 3,4kHz com um diâmetro não acima de 10 mm e uma altura não acima de 3 mm, para telecomunicação"
8518.10.80,*,"Microphones and stands therefor, nesoi","Microfones e estandes, nesoi"
8518.21.00,*,Single loudspeakers mounted in their enclosures,Alto -falantes únicos montados em seus gabinetes
8518.22.00,*,Multiple loudspeakers mounted in the same enclosure,Vários alto -falantes montados no mesmo gabinete
8518.29.40,*,"Loudspeakers not mounted in their enclosures, with a frequency range of 300Hz to 3.4kHz, with a diameter not over 50 mm, for telecommunication","Alto -falantes não montados em seus gabinetes, com uma faixa de frequência de 300Hz a 3,4kHz, com um diâmetro não acima de 50 mm, para telecomunicação"
8518.29.80,*,"Loudspeakers not mounted in their enclosures, nesoi","Alto -falantes não montados em seus gabinetes, nesoi"
8518.30.10,*,Line telephone handsets,Aparelhos telefônicos de linha
8518.30.20,*,"Headphones, earphones and combined microphone/speaker sets, other than telephone handsets","Fones de ouvido, fones de ouvido e conjuntos combinados de microfone/alto -falantes, exceto aparelhos por telefone"
